dish_id,keyword_id,frequency
76,21,5
76,25,4
76,44,1
77,21,5
77,26,3
77,48,1
77,44,1
78,21,10
78,23,7
78,46,2
78,45,1
79,21,10
79,26,6
79,48,1
79,44,1
80,21,9
80,25,6
80,44,1
81,21,9
81,26,5
81,48,1
81,44,1
82,21,8
82,25,5
82,48,1
82,44,1
83,21,7
83,23,5
83,44,1
84,21,7
84,25,4
84,48,1
84,44,1
85,21,6
85,26,4
85,46,2
85,45,1
86,21,5
86,25,4
86,44,1
87,21,5
87,26,3
87,48,1
87,44,1
88,21,10
88,23,7
88,46,2
88,45,1
89,21,10
89,26,6
89,48,1
89,44,1
90,21,9
90,25,6
90,44,1
91,21,9
91,26,5
91,48,1
91,44,1
92,21,8
92,25,5
92,48,1
92,44,1
93,21,7
93,23,5
93,44,1
94,21,7
94,25,4
94,48,1
94,44,1
95,21,6
95,26,4
95,46,2
95,45,1
96,21,5
96,25,4
96,44,1
97,21,5
97,26,3
97,48,1
97,44,1
98,21,10
98,23,7
98,46,2
98,45,1
99,21,10
99,26,6
99,48,1
99,44,1
100,21,9
100,25,6
100,44,1
