dish_id,keyword_id,frequency
51,21,9
51,26,5
51,48,1
51,44,1
52,21,8
52,25,5
52,48,1
52,44,1
53,21,7
53,23,5
53,44,1
54,21,7
54,25,4
54,48,1
54,44,1
55,21,6
55,26,4
55,46,2
55,45,1
56,21,5
56,25,4
56,44,1
57,21,5
57,26,3
57,48,1
57,44,1
58,21,10
58,23,7
58,46,2
58,45,1
59,21,10
59,26,6
59,48,1
59,44,1
60,21,9
60,25,6
60,44,1
61,21,9
61,26,5
61,48,1
61,44,1
62,21,8
62,25,5
62,48,1
62,44,1
63,21,7
63,23,5
63,44,1
64,21,7
64,25,4
64,48,1
64,44,1
65,21,6
65,26,4
65,46,2
65,45,1
66,21,5
66,25,4
66,44,1
67,21,5
67,26,3
67,48,1
67,44,1
68,21,10
68,23,7
68,46,2
68,45,1
69,21,10
69,26,6
69,48,1
69,44,1
70,21,9
70,25,6
70,44,1
71,21,9
71,26,5
71,48,1
71,44,1
72,21,8
72,25,5
72,48,1
72,44,1
73,21,7
73,23,5
73,44,1
74,21,7
74,25,4
74,48,1
74,44,1
75,21,6
75,26,4
75,46,2
75,45,1
